library,approximator,method,dataset,n_features,run_count,time_cap_count,time_cap_fraction
dalex,permutation,dalex / permutation,ames_housing,14,80,0,0.0
dalex,permutation,dalex / permutation,ames_housing,32,80,0,0.0
dalex,permutation,dalex / permutation,ames_housing,79,80,0,0.0
dalex,permutation,dalex / permutation,covertype,14,80,0,0.0
dalex,permutation,dalex / permutation,covertype,28,80,0,0.0
dalex,permutation,dalex / permutation,covertype,54,80,0,0.0
dalex,permutation,dalex / permutation,diabetes_130,14,80,0,0.0
dalex,permutation,dalex / permutation,diabetes_130,24,80,0,0.0
dalex,permutation,dalex / permutation,diabetes_130,47,80,0,0.0
dalex,permutation,dalex / permutation,gisette,14,80,0,0.0
dalex,permutation,dalex / permutation,gisette,64,80,0,0.0
dalex,permutation,dalex / permutation,gisette,256,80,0,0.0
lightshap,kernel,lightshap / kernel,ames_housing,14,80,0,0.0
lightshap,kernel,lightshap / kernel,ames_housing,32,80,0,0.0
lightshap,kernel,lightshap / kernel,ames_housing,79,80,13,0.1625
lightshap,kernel,lightshap / kernel,covertype,14,80,0,0.0
lightshap,kernel,lightshap / kernel,covertype,28,80,0,0.0
lightshap,kernel,lightshap / kernel,covertype,54,80,0,0.0
lightshap,kernel,lightshap / kernel,diabetes_130,14,80,0,0.0
lightshap,kernel,lightshap / kernel,diabetes_130,24,80,0,0.0
lightshap,kernel,lightshap / kernel,diabetes_130,47,80,0,0.0
lightshap,kernel,lightshap / kernel,gisette,14,80,0,0.0
lightshap,kernel,lightshap / kernel,gisette,64,80,0,0.0
lightshap,kernel,lightshap / kernel,gisette,256,80,66,0.825
lightshap,permutation,lightshap / permutation,ames_housing,14,80,0,0.0
lightshap,permutation,lightshap / permutation,ames_housing,32,80,0,0.0
lightshap,permutation,lightshap / permutation,ames_housing,79,80,0,0.0
lightshap,permutation,lightshap / permutation,covertype,14,80,0,0.0
lightshap,permutation,lightshap / permutation,covertype,28,80,0,0.0
lightshap,permutation,lightshap / permutation,covertype,54,80,0,0.0
lightshap,permutation,lightshap / permutation,diabetes_130,14,80,0,0.0
lightshap,permutation,lightshap / permutation,diabetes_130,24,80,0,0.0
lightshap,permutation,lightshap / permutation,diabetes_130,47,80,0,0.0
lightshap,permutation,lightshap / permutation,gisette,14,80,0,0.0
lightshap,permutation,lightshap / permutation,gisette,64,80,0,0.0
lightshap,permutation,lightshap / permutation,gisette,256,80,50,0.625
shap,kernel,shap / kernel,ames_housing,14,80,0,0.0
shap,kernel,shap / kernel,ames_housing,32,80,0,0.0
shap,kernel,shap / kernel,ames_housing,79,80,0,0.0
shap,kernel,shap / kernel,covertype,14,80,0,0.0
shap,kernel,shap / kernel,covertype,28,80,0,0.0
shap,kernel,shap / kernel,covertype,54,80,0,0.0
shap,kernel,shap / kernel,diabetes_130,14,80,0,0.0
shap,kernel,shap / kernel,diabetes_130,24,80,0,0.0
shap,kernel,shap / kernel,diabetes_130,47,80,0,0.0
shap,kernel,shap / kernel,gisette,14,80,0,0.0
shap,kernel,shap / kernel,gisette,64,80,0,0.0
shap,kernel,shap / kernel,gisette,256,80,0,0.0
shap,permutation,shap / permutation,ames_housing,14,80,0,0.0
shap,permutation,shap / permutation,ames_housing,32,80,0,0.0
shap,permutation,shap / permutation,ames_housing,79,80,0,0.0
shap,permutation,shap / permutation,covertype,14,80,0,0.0
shap,permutation,shap / permutation,covertype,28,80,0,0.0
shap,permutation,shap / permutation,covertype,54,80,0,0.0
shap,permutation,shap / permutation,diabetes_130,14,80,0,0.0
shap,permutation,shap / permutation,diabetes_130,24,80,0,0.0
shap,permutation,shap / permutation,diabetes_130,47,80,0,0.0
shap,permutation,shap / permutation,gisette,14,80,0,0.0
shap,permutation,shap / permutation,gisette,64,80,0,0.0
shap,permutation,shap / permutation,gisette,256,80,0,0.0
shapiq,kernel,shapiq / kernel,ames_housing,14,80,0,0.0
shapiq,kernel,shapiq / kernel,ames_housing,32,80,0,0.0
shapiq,kernel,shapiq / kernel,ames_housing,79,80,0,0.0
shapiq,kernel,shapiq / kernel,covertype,14,80,0,0.0
shapiq,kernel,shapiq / kernel,covertype,28,80,0,0.0
shapiq,kernel,shapiq / kernel,covertype,54,80,0,0.0
shapiq,kernel,shapiq / kernel,diabetes_130,14,80,0,0.0
shapiq,kernel,shapiq / kernel,diabetes_130,24,80,0,0.0
shapiq,kernel,shapiq / kernel,diabetes_130,47,80,0,0.0
shapiq,kernel,shapiq / kernel,gisette,14,80,0,0.0
shapiq,kernel,shapiq / kernel,gisette,64,80,0,0.0
shapiq,kernel,shapiq / kernel,gisette,256,80,0,0.0
shapiq,permutation,shapiq / permutation,ames_housing,14,80,0,0.0
shapiq,permutation,shapiq / permutation,ames_housing,32,80,0,0.0
shapiq,permutation,shapiq / permutation,ames_housing,79,80,0,0.0
shapiq,permutation,shapiq / permutation,covertype,14,80,0,0.0
shapiq,permutation,shapiq / permutation,covertype,28,80,0,0.0
shapiq,permutation,shapiq / permutation,covertype,54,80,0,0.0
shapiq,permutation,shapiq / permutation,diabetes_130,14,80,0,0.0
shapiq,permutation,shapiq / permutation,diabetes_130,24,80,0,0.0
shapiq,permutation,shapiq / permutation,diabetes_130,47,80,0,0.0
shapiq,permutation,shapiq / permutation,gisette,14,80,0,0.0
shapiq,permutation,shapiq / permutation,gisette,64,80,0,0.0
shapiq,permutation,shapiq / permutation,gisette,256,80,0,0.0
